iter	Accuracy	MultiClass	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5
0	0.3114769461	1.754665853	0.2842895838	0.2445849136	0.004439511654	0.002637031456	0.4943255512	0.4886504975
1	0.4227789579	1.6800853	0.5944995203	0.3086264177	0.07887924471	0.3104897661	0.5274003969	0.5020535568
2	0.4380544796	1.623568774	0.6012011544	0.35538184	0.05944584383	0.3189990537	0.5342279855	0.5056422569
3	0.4464888167	1.581033699	0.6185928048	0.3621069497	0.1014084507	0.3281280886	0.5330369462	0.5265100671
4	0.4613270024	1.541926172	0.6340954673	0.3688622754	0.1401744788	0.34348579	0.5464866523	0.5444938354
5	0.4701361989	1.511780006	0.6423521851	0.3726175032	0.1763417306	0.3657471721	0.5511897307	0.5575151356
6	0.4776646258	1.484605382	0.6429900493	0.3789931757	0.2229904927	0.368174727	0.5555728761	0.5748546512
7	0.4850680995	1.459195966	0.6472011615	0.3777058467	0.2325123153	0.3836842641	0.5608971845	0.5876064504
8	0.4897538423	1.438780282	0.6460597279	0.3830748691	0.2430572622	0.3949787486	0.5628315781	0.5936247723
9	0.4949393977	1.418850988	0.6499197432	0.3863801516	0.2484502249	0.4011119936	0.567192429	0.6018991965
10	0.4990628514	1.401036379	0.6534081796	0.3834163927	0.2710554059	0.403559644	0.5679596342	0.6085680213
11	0.5038735474	1.3849389	0.6560504405	0.3842060451	0.2827816861	0.4061569017	0.5715864246	0.6223492532
12	0.5064975634	1.370775388	0.6594208776	0.3857749469	0.285061672	0.413955774	0.5738329628	0.6259769259
13	0.5105273023	1.358893857	0.6623976656	0.3898161842	0.2874415421	0.4171196995	0.5792818557	0.6318727323
14	0.5120892165	1.346913853	0.6625427316	0.3901197922	0.2982514757	0.4170161774	0.579960396	0.6353513615
15	0.5162126702	1.335824261	0.6673218673	0.3970045354	0.3043334436	0.4232423242	0.5837708831	0.6365591398
16	0.5187117331	1.324599589	0.6702249959	0.3979688988	0.3123018043	0.422668004	0.5895356234	0.6355821342
17	0.5207422217	1.316778303	0.6717594874	0.3979613506	0.3178521165	0.4253184873	0.5894720076	0.6407348393
18	0.5219605148	1.308438657	0.6722592318	0.3975788468	0.318176909	0.4285428343	0.5909163347	0.6439372593
19	0.5233662377	1.301706562	0.6732510288	0.3985984285	0.3216317767	0.4307692308	0.5907677589	0.6475255006
20	0.5260839685	1.293039402	0.6733113674	0.4067041477	0.3265698419	0.4317339477	0.5960402363	0.6462585034
21	0.5286455079	1.28574514	0.6749958902	0.4107729827	0.3320610687	0.4351053159	0.5972857946	0.6481271283
22	0.5302698988	1.279119451	0.6769889639	0.4139767764	0.3365313653	0.434974431	0.5975443383	0.6493948563
23	0.5318318131	1.273799669	0.6777567323	0.4178154825	0.3362644348	0.4365055539	0.5989888452	0.6516385679
24	0.5329563914	1.268528452	0.6780274965	0.4186888037	0.3361787333	0.4418326693	0.5995500562	0.653340948
25	0.5351743096	1.262557791	0.6800462504	0.4218567639	0.3378106822	0.4431220867	0.6023184672	0.6561580097
26	0.5359240285	1.256431304	0.6803359684	0.4229787234	0.3411603664	0.4412641622	0.6026800129	0.6577423336
27	0.5379857553	1.250360583	0.6807318279	0.4253451782	0.3455475519	0.4449085123	0.6059137179	0.6574900323
28	0.5394227165	1.245661173	0.6828865979	0.4264392324	0.3460453453	0.4480126871	0.6068742418	0.659424433
29	0.5412970136	1.24086329	0.6841887759	0.4269951794	0.3502131642	0.450341618	0.6079081426	0.6622251832
30	0.5432962639	1.236429649	0.6863572433	0.4280656582	0.353526971	0.4525951557	0.6091665993	0.6650142993
31	0.543858553	1.232632489	0.6852173913	0.426137589	0.3567745927	0.4543478261	0.6105501252	0.6659667876
32	0.5450456079	1.228595307	0.6863768116	0.4296328201	0.3593380615	0.4535124988	0.6109090909	0.6680080483
33	0.5452955142	1.225205831	0.6879920444	0.4295850355	0.3596870496	0.4535981125	0.6119705192	0.6668585684
34	0.547357241	1.221233444	0.6889110226	0.4309178744	0.3636177194	0.4565771417	0.6136621775	0.6706482998
35	0.5492002999	1.218127553	0.6889515594	0.4329786091	0.3666017027	0.4592824323	0.6159714332	0.6720694645
36	0.5494814445	1.215138439	0.6882966396	0.4351662542	0.3671507466	0.4580481127	0.6164985356	0.6730416304
37	0.5497313507	1.212611067	0.6883267196	0.4351194319	0.366404414	0.4593881341	0.6171027961	0.6734950237
38	0.5505435462	1.209438916	0.6885463285	0.4373590982	0.3681795003	0.4626341463	0.6165020811	0.6734397678
39	0.5521366987	1.206000021	0.6891131701	0.437351736	0.3711172217	0.4645991808	0.6186240104	0.6749226006
40	0.5521054605	1.202538306	0.6892618004	0.4378570659	0.3697068404	0.4648532709	0.6190903895	0.6748692114
41	0.5532300387	1.200023258	0.6907165315	0.4375134902	0.3716436127	0.4658736349	0.6206389411	0.6756887385
42	0.5546045233	1.197236827	0.6921482464	0.4380397237	0.3740117576	0.4660818713	0.6214624571	0.6796172804
43	0.5547294764	1.195035016	0.6916445623	0.4375607124	0.3727918782	0.4678078195	0.6225165563	0.6796360821
44	0.5555104336	1.19220063	0.6913641638	0.4393138418	0.3747970779	0.4695246428	0.6222877262	0.6801509726
45	0.5566662502	1.189957819	0.6925882938	0.4409482759	0.3772090189	0.4704739705	0.6225719203	0.6809169165
46	0.5575096839	1.187556497	0.6923268353	0.4427217916	0.3775727466	0.4724194961	0.6233894132	0.6818620823
47	0.5583531176	1.185049503	0.6934197408	0.4421665947	0.3777327935	0.47334175	0.6249281078	0.6837639799
48	0.5586342622	1.182844031	0.693541684	0.4422435138	0.3795753286	0.4735256971	0.6250925545	0.6837738761
49	0.5590715982	1.180829406	0.6934397605	0.4440141981	0.379644588	0.4733002626	0.6260082305	0.6844187168
