iter	Passed	Remaining
0	24	1223
1	51	1239
2	73	1151
3	101	1164
4	132	1191
5	157	1152
6	179	1102
7	203	1066
8	227	1038
9	248	995
10	271	960
11	299	947
12	321	916
13	348	895
14	373	872
15	400	850
16	422	820
17	445	792
18	468	764
19	494	741
20	517	714
21	538	685
22	560	657
23	582	630
24	605	605
25	626	578
26	649	553
27	669	526
28	695	503
29	717	478
30	742	454
31	767	431
32	794	409
33	818	385
34	845	362
35	868	337
36	892	313
37	916	289
38	940	265
39	966	241
40	991	217
41	1016	193
42	1052	171
43	1076	146
44	1103	122
45	1130	98
46	1158	73
47	1184	49
48	1209	24
49	1231	0
